record_time_perf,tap_number,frame_age_ms,t_read_total_ms,t_frameacq_ms,t_getts_ms,t_frameconv_ms,detect_time_ms
2279.40877735,1,1.639325,1.776752,1.612475,0.003987,0.157034,3.15105
2279.909468161,2,0.230962,1.784837,1.55123,0.003988,0.223748,3.493661
2280.330484823,3,1.842946,1.598228,1.383978,0.003025,0.208089,3.244525
2280.732104848,4,0.828448,1.557621,1.386171,0.00536,0.161702,3.27946
2281.103711017,5,1.740023,1.90402,1.638072,0.006022,0.255046,3.637711
2281.467624331,6,1.337801,1.628805,1.426446,0.00505,0.193782,3.643771
2281.841604123,7,1.075822,1.660223,1.382435,0.005881,0.268281,3.816535
2282.191948813,8,0.382515,1.784105,1.596665,0.003176,0.181168,3.921521
2282.547090987,9,0.825783,1.752677,1.549557,0.007203,0.192129,3.725575
2282.908369804,10,1.93132,1.498051,1.366174,0.002746,0.126125,3.428018
2283.250865058,11,0.446364,1.904481,1.679129,0.002725,0.218528,3.835911
2283.602109703,12,1.220331,1.554336,1.42318,0.002585,0.126346,3.41804
2283.936517853,13,1.619538,1.598919,1.421939,0.001813,0.172663,3.500695
2284.25163977,14,1.512858,1.758287,1.469628,0.003727,0.279933,3.782011
2284.553531598,15,1.685491,1.77594,1.536332,0.003857,0.233136,3.932572
2284.854081836,16,1.333493,1.593539,1.451874,0.002996,0.135793,3.600501
2285.139813464,17,1.188422,1.418441,1.277999,0.003306,0.134021,3.313094
2285.436939088,18,0.330127,1.895043,1.660604,0.005501,0.223758,3.517045
2285.706926956,19,1.480578,1.851953,1.672406,0.0053,0.169207,3.365051
2285.984693246,20,0.372386,1.95242,1.669241,0.004618,0.274133,3.620027
2287.343350375,21,1.19816,1.541241,1.369771,0.004198,0.164247,3.124301
2287.624168102,22,0.14961,1.869515,1.615711,0.002785,0.247192,4.378996
2287.887204304,23,0.316582,1.927624,1.673729,0.002785,0.248415,4.029493
2288.226401047,24,1.817278,1.862813,1.681223,0.004528,0.173034,4.042879
2288.383510345,25,0.778225,1.734883,1.530631,0.006012,0.194884,3.697322
2288.58201152,26,0.744171,1.999017,1.744432,0.005239,0.244658,3.773665
2288.739561092,27,1.721618,1.682967,1.534109,0.004488,0.140553,4.148616
2288.907730057,28,0.688006,1.865498,1.543175,0.004629,0.312474,3.288538
2289.778824364,29,1.713674,1.715367,1.532325,0.008756,0.170208,3.52507
2290.061628816,30,0.370383,1.793312,1.564355,0.002685,0.223688,3.35891
2290.901493867,31,0.496388,1.624166,1.412691,0.007855,0.200505,3.563472
2291.228883836,32,1.833197,1.436446,1.214841,0.002906,0.215503,3.378697
2291.494488852,33,1.91495,1.266267,1.055954,0.004328,0.20286,3.715426
2291.760152209,34,0.305963,1.855339,1.590714,0.003386,0.258724,5.727939
2292.250543689,35,1.724824,1.726698,1.570456,0.003687,0.148257,4.491639
2292.626797156,36,1.616933,1.471471,1.317252,0.003837,0.146675,3.130763
2292.956359036,37,0.998467,1.459669,1.292386,0.003947,0.159238,3.215011
2293.248252292,38,0.573332,1.864486,1.619859,0.004639,0.235841,3.466191
2293.529462857,39,1.730326,1.619107,1.487581,0.002826,0.126316,3.243714
2293.807233851,40,1.831655,1.622213,1.488152,0.003046,0.12848,4.083195
2294.079800294,41,0.387023,2.008977,1.746847,0.004729,0.252832,3.330767
2294.340119274,42,0.406801,1.536552,1.265857,0.007824,0.256971,4.067586
2294.600886431,43,0.516896,1.904231,1.681374,0.002845,0.217387,3.45575
2294.837651111,44,0.210894,1.7547,1.503241,0.002665,0.245529,3.856781
2295.085402683,45,0.419234,1.964112,1.648513,0.005279,0.303458,3.403213
2295.342222475,46,0.902617,2.019326,1.65263,0.004619,0.357969,3.93645
2295.589391624,47,0.817929,1.639966,1.507468,0.002234,0.127779,3.458077
2295.842465121,48,0.170429,1.928496,1.672267,0.002876,0.249516,3.340476
2296.084039899,49,0.735305,1.721059,1.535822,0.003797,0.178804,3.887268
2296.343649603,50,1.012793,1.586166,1.3962,0.004469,0.182851,3.832116
2296.578781179,51,1.706751,1.716099,1.552823,0.005079,0.153998,3.557812
2296.813864825,52,0.397313,1.644184,1.494875,0.002985,0.143569,3.432348
2297.058448544,53,0.818279,1.714456,1.54072,0.003216,0.16585,3.360974
2297.298798441,54,1.920391,1.445823,1.219831,0.003356,0.219611,3.922865
2297.532291278,55,1.434041,1.61005,1.4655,0.003186,0.138579,3.448638
2297.750401192,56,1.845832,1.671335,1.459399,0.003987,0.203671,3.483512
2297.998978943,57,0.644455,1.724234,1.584353,0.002825,0.134571,3.473314
2298.218914224,58,0.981695,1.697113,1.450813,0.004829,0.238085,3.530922
2298.457511659,59,1.156523,1.913697,1.681183,0.003477,0.226523,3.504444
2298.681298112,60,1.21365,1.613637,1.453488,0.004258,0.151703,4.035656
2298.921534292,61,1.477684,1.801337,1.530832,0.00514,0.26252,3.483013
2299.155023377,62,1.853205,1.427179,1.289932,0.002745,0.131717,3.885605
2299.372739073,63,1.870227,1.982166,1.70132,0.007524,0.268492,3.934538
2299.61139347,64,0.180026,1.944456,1.694979,0.003136,0.243846,4.01069
2299.840892839,65,1.459449,1.722471,1.5779,0.002144,0.139992,3.37457
2300.070394612,66,1.103193,1.586878,1.432649,0.002795,0.149169,4.215472
2300.291813617,67,1.742578,1.489024,1.28389,0.003556,0.198321,3.659764
2300.518614334,68,1.752546,1.825925,1.665555,0.003146,0.154288,3.475739
2300.734121385,69,1.121167,1.875868,1.645857,0.003407,0.223598,3.87204
2300.970373935,70,1.427148,1.502178,1.354162,0.003546,0.140904,3.404637
2301.192742648,71,0.862123,1.675202,1.539268,0.003497,0.129892,3.172192
2301.418125849,72,0.701322,1.667498,1.495095,0.003527,0.164928,3.477964
2301.623211857,73,0.961798,1.822577,1.606624,0.003506,0.209402,4.058258
2301.837722379,74,0.226133,1.609099,1.436897,0.003998,0.16573,3.808111
2302.036818928,75,0.289331,2.012564,1.739272,0.004158,0.263984,4.189503
2302.255498709,76,0.622785,1.783485,1.60921,0.004207,0.166752,3.364381
2302.459577148,78,0.464849,1.82897,1.575927,0.004038,0.244377,3.362518
2302.671402482,79,0.515474,1.774057,1.536022,0.003827,0.230792,3.381634
2302.89171153,80,1.637422,1.658261,1.428111,0.003687,0.223407,4.997384
2303.119052378,81,1.726088,1.603158,1.452476,0.002665,0.145071,3.485658
2303.334204747,82,1.172583,1.805686,1.571569,0.004168,0.226984,3.503731
2303.54587189,83,1.155299,1.645447,1.474106,0.00545,0.161582,3.391281
